segment_id,record_id,npz_path,fs,n_samples,n_leads,leads,start_s,end_s
JS00044_II_0_5000,JS00044_II_0_5000,data/JS00044_II_0_5000.npz,500.0,5000,1,L1,0.0,10.0
JS00045_II_0_5000,JS00045_II_0_5000,data/JS00045_II_0_5000.npz,500.0,5000,1,L1,0.0,10.0
JS00046_II_0_5000,JS00046_II_0_5000,data/JS00046_II_0_5000.npz,500.0,5000,1,L1,0.0,10.0
JS00047_II_0_5000,JS00047_II_0_5000,data/JS00047_II_0_5000.npz,500.0,5000,1,L1,0.0,10.0
JS00048_II_0_5000,JS00048_II_0_5000,data/JS00048_II_0_5000.npz,500.0,5000,1,L1,0.0,10.0
JS00049_II_0_5000,JS00049_II_0_5000,data/JS00049_II_0_5000.npz,500.0,5000,1,L1,0.0,10.0
JS01127_II_0_4000,JS01127_II_0_4000,data/JS01127_II_0_4000.npz,500.0,4000,1,L1,0.0,8.0
JS01128_II_0_4000,JS01128_II_0_4000,data/JS01128_II_0_4000.npz,500.0,4000,1,L1,0.0,8.0
JS01129_II_0_4000,JS01129_II_0_4000,data/JS01129_II_0_4000.npz,500.0,4000,1,L1,0.0,8.0
JS01130_II_0_4000,JS01130_II_0_4000,data/JS01130_II_0_4000.npz,500.0,4000,1,L1,0.0,8.0
JS01131_II_0_4000,JS01131_II_0_4000,data/JS01131_II_0_4000.npz,500.0,4000,1,L1,0.0,8.0
JS01132_II_0_4000,JS01132_II_0_4000,data/JS01132_II_0_4000.npz,500.0,4000,1,L1,0.0,8.0
JS01133_II_0_4000,JS01133_II_0_4000,data/JS01133_II_0_4000.npz,500.0,4000,1,L1,0.0,8.0
JS01134_II_0_4000,JS01134_II_0_4000,data/JS01134_II_0_4000.npz,500.0,4000,1,L1,0.0,8.0
JS01135_II_0_4000,JS01135_II_0_4000,data/JS01135_II_0_4000.npz,500.0,4000,1,L1,0.0,8.0
JS01136_II_0_4000,JS01136_II_0_4000,data/JS01136_II_0_4000.npz,500.0,4000,1,L1,0.0,8.0
JS01137_II_0_4000,JS01137_II_0_4000,data/JS01137_II_0_4000.npz,500.0,4000,1,L1,0.0,8.0
JS01138_II_0_4000,JS01138_II_0_4000,data/JS01138_II_0_4000.npz,500.0,4000,1,L1,0.0,8.0
JS01139_II_0_4000,JS01139_II_0_4000,data/JS01139_II_0_4000.npz,500.0,4000,1,L1,0.0,8.0
JS01140_II_0_4000,JS01140_II_0_4000,data/JS01140_II_0_4000.npz,500.0,4000,1,L1,0.0,8.0
JS01141_II_0_4000,JS01141_II_0_4000,data/JS01141_II_0_4000.npz,500.0,4000,1,L1,0.0,8.0
JS01142_II_0_4000,JS01142_II_0_4000,data/JS01142_II_0_4000.npz,500.0,4000,1,L1,0.0,8.0
JS01143_II_0_4000,JS01143_II_0_4000,data/JS01143_II_0_4000.npz,500.0,4000,1,L1,0.0,8.0
JS01144_II_0_4000,JS01144_II_0_4000,data/JS01144_II_0_4000.npz,500.0,4000,1,L1,0.0,8.0
JS01145_II_0_4000,JS01145_II_0_4000,data/JS01145_II_0_4000.npz,500.0,4000,1,L1,0.0,8.0
JS01146_II_0_4000,JS01146_II_0_4000,data/JS01146_II_0_4000.npz,500.0,4000,1,L1,0.0,8.0
JS01147_II_0_4000,JS01147_II_0_4000,data/JS01147_II_0_4000.npz,500.0,4000,1,L1,0.0,8.0
JS01159_II_0_4000,JS01159_II_0_4000,data/JS01159_II_0_4000.npz,500.0,4000,1,L1,0.0,8.0
JS01160_II_0_4000,JS01160_II_0_4000,data/JS01160_II_0_4000.npz,500.0,4000,1,L1,0.0,8.0
JS29621_II_0_4000,JS29621_II_0_4000,data/JS29621_II_0_4000.npz,500.0,4000,1,L1,0.0,8.0
JS29622_II_0_4000,JS29622_II_0_4000,data/JS29622_II_0_4000.npz,500.0,4000,1,L1,0.0,8.0
JS29623_II_0_4000,JS29623_II_0_4000,data/JS29623_II_0_4000.npz,500.0,4000,1,L1,0.0,8.0
JS29624_II_0_4000,JS29624_II_0_4000,data/JS29624_II_0_4000.npz,500.0,4000,1,L1,0.0,8.0
JS29625_II_0_4000,JS29625_II_0_4000,data/JS29625_II_0_4000.npz,500.0,4000,1,L1,0.0,8.0
JS29626_II_0_4000,JS29626_II_0_4000,data/JS29626_II_0_4000.npz,500.0,4000,1,L1,0.0,8.0
JS29627_II_0_4000,JS29627_II_0_4000,data/JS29627_II_0_4000.npz,500.0,4000,1,L1,0.0,8.0
JS29628_II_0_4000,JS29628_II_0_4000,data/JS29628_II_0_4000.npz,500.0,4000,1,L1,0.0,8.0
JS29629_II_0_4000,JS29629_II_0_4000,data/JS29629_II_0_4000.npz,500.0,4000,1,L1,0.0,8.0
JS29630_II_0_4000,JS29630_II_0_4000,data/JS29630_II_0_4000.npz,500.0,4000,1,L1,0.0,8.0
JS29631_II_0_4000,JS29631_II_0_4000,data/JS29631_II_0_4000.npz,500.0,4000,1,L1,0.0,8.0
JS29632_II_0_4000,JS29632_II_0_4000,data/JS29632_II_0_4000.npz,500.0,4000,1,L1,0.0,8.0
JS29633_II_0_4000,JS29633_II_0_4000,data/JS29633_II_0_4000.npz,500.0,4000,1,L1,0.0,8.0
JS29634_II_0_4000,JS29634_II_0_4000,data/JS29634_II_0_4000.npz,500.0,4000,1,L1,0.0,8.0
JS29635_II_0_4000,JS29635_II_0_4000,data/JS29635_II_0_4000.npz,500.0,4000,1,L1,0.0,8.0
JS29636_II_0_4000,JS29636_II_0_4000,data/JS29636_II_0_4000.npz,500.0,4000,1,L1,0.0,8.0
JS29637_II_0_4000,JS29637_II_0_4000,data/JS29637_II_0_4000.npz,500.0,4000,1,L1,0.0,8.0
JS29638_II_0_4000,JS29638_II_0_4000,data/JS29638_II_0_4000.npz,500.0,4000,1,L1,0.0,8.0
JS29639_II_0_4000,JS29639_II_0_4000,data/JS29639_II_0_4000.npz,500.0,4000,1,L1,0.0,8.0
